Pair,Date,Keeper,Cleaning (Y/N),"Breeding (N, Sit, Chick, Molt)",Hack Box Male (Y/N),Window Attacking Male (Y/N),Alarm Calls Male (#),Alarm Calls Female (#),Directed Non-Alarm Calls Male (#),Directed Non-Alarm Calls Female (#),Non-Directed Non-Alarm Calls Male (#),Non-Directed Non-Alarm Calls Female (#),Food Timing Male,Food Timing Female,Wait Location Male,Wait Location Female,Start Time,End Time,Length,Length (in seconds),Notes,Afternoon Alarm Calls Male (#),Afternoon Alarm Calls Female (#),Afternoon Directed Non-Alarm Calls Male (#),Afternoon Directed Non-Alarm Calls Female (#),Afternoon Non-Directed Non-Alarm Calls Male (#), Afternoon Non-Directed Non-Alarm Calls Female (#),Afternoon Food Timing Male,Afternoon Food Timing Female,Afternoon Wait Location Male,Afternoon Wait Location Female,Afternoon Start Time,Afternoon End Time,Afternoon Length,Afternoon Length (in seconds),Afternoon Notes
AL184_AL124,8-Jul,Julie,Y,N,N,N,0,3,5,5,25,23,1,1,1,1,7:32:27 AM,7:39:40 AM,0:07:13,433,,4,3,0,0,10,12,0,1,0,0,1:10:44 PM,1:13:40 PM,0:02:56,176,
AL109_AL153,8-Jul,Julie,N,N,N,N,0,0,0,0,61,4,0,1,0,1,8:52:05 AM,8:56:56 AM,0:04:51,291,,3,0,0,0,31,1,1,1,0,1,1:58:54 PM,2:01:58 PM,0:03:04,184,
AL238_AL234,8-Jul,Julie,Y,N,N,N,0,0,0,0,6,0,1,1,0,0,8:19:59 AM,8:27:03 AM,0:07:04,424,,1,1,1,1,0,0,1,1,0,0,1:36:31 PM,1:39:14 PM,0:02:43,163,
AL249_AL257,8-Jul,Julie,N,N,N,N,0,0,0,0,0,3,1,1,1,1,9:28:56 AM,9:34:48 AM,0:05:52,352,,0,0,0,0,0,0,1,1,1,1,2:18:52 PM,2:21:36 PM,0:02:44,164,
AL193_AL213,9-Jul,Julie,Y,N,N,N,0,0,0,0,0,0,1,1,1,1,10:11:28 AM,10:29:01 AM,0:17:33,1053,,0,0,0,0,2,2,1,1,0,0,1:56:37 PM,2:03:00 PM,0:06:23,383,
AL226_AL229,8-Jul,Julie,N,N,N,N,0,0,0,0,1,0,0,1,1,0,9:00:34 AM,9:08:15 AM,0:07:41,461,,0,4,0,0,1,2,1,0,1,0,2:04:45 PM,2:10:03 PM,0:05:18,318,
AL118_AL100,9-Jul,Julie,Y,N,N,N,0,0,0,0,14,8,0,1,0,1,9:13:45 AM,9:28:29 AM,0:14:44,884,,0,0,0,0,5,0,1,1,0,1,1:40:09 PM,1:44:23 PM,0:04:14,254,
AL228_AL221,8-Jul,Julie,N,N,N,N,0,0,0,0,1,13,1,0,0,0,9:16:36 AM,9:21:47 AM,0:05:11,311,,0,0,0,0,2,0,2,0,2,0,2:13:56 PM,2:17:23 PM,0:03:27,207,
AL160_AL162,9-Jul,Julie,Y,N,N,N,0,0,0,0,12,0,0,2,1,1,9:41:24 AM,10:04:55 AM,0:23:31,1411,Julie up ladder before start but no rxn from birds,0,0,0,0,2,0,1,1,1,1,1:48:50 PM,1:52:20 PM,0:03:30,210,
AL223_AL156,8-Jul,Julie,N,N,N,N,0,0,0,0,1,0,1,1,0,1,9:28:56 AM,9:34:48 AM,0:05:52,352,,0,0,0,0,4,2,1,1,1,1,1:51:29 PM,1:55:30 PM,0:04:01,241,
AL204_AL208,9-Jul,Julie,Y,N,N,N,5,0,14,0,31,2,1,1,1,2,8:25:11 AM,8:40:09 AM,0:14:58,898,,0,0,0,0,0,0,1,1,1,1,2:08:37 PM,2:10:40 PM,0:02:03,123,
AL161_AL167,15-Jul,Ariel,Y,N,N,N,0,0,0,0,2,0,1,1,1,1,7:48:50 AM,7:54:42 AM,0:05:52,352,,0,0,4,0,0,0,2,2,2,2,1:29:49 PM,1:31:27 PM,0:01:38,98,
AL198_AL201,15-Jul,Ariel,Y,N,N,N,0,0,0,0,0,0,1,1,0,0,9:43:39 AM,9:49:05 AM,0:05:26,326,,0,0,0,0,0,21,2,1,1,0,2:17:49 PM,2:20:22 PM,0:02:33,153,F beg
AL195_AL164,15-Jul,Ariel,Y,Sit,N,N,0,0,39,5,0,24,2,0,2,2,9:36:38 AM,9:42:05 AM,0:05:27,327,,0,0,6,0,0,4,2,0,2,0,2:14:09 PM,2:16:15 PM,0:02:06,126,
AL122_AL194,15-Jul,Ariel,Y,N,N,N,0,0,0,0,39,0,1,2,0,1,9:04:38 AM,9:09:37 AM,0:04:59,299,,0,0,0,0,0,0,1,2,0,2,1:58:11 PM,2:00:13 PM,0:02:02,122,
AL197_AL209,15-Jul,Ariel,Y,N,N,N,0,0,0,0,0,0,1,2,2,2,9:17:03 AM,9:21:18 AM,0:04:15,255,,0,0,1,0,0,0,2,2,2,2,2:05:00 PM,2:06:12 PM,0:01:12,72,
